drug_id,drug_name,manufacturer_country,license_holder,distribution_region,facility_type,initial_stock_units,stock_received_date,reorder_level,average_monthly_demand,delivery_frequency_days,lead_time_days,supplier_reliability_score,region_disease_outbreaks,season,transport_accessibility_score,power_stability_index,staff_availability_index,data_record_quality,storage_temperature,storage_humidity,FEFO_policy_implemented,warehouse_capacity_utilization,storage_condition_rating,stockout_occurred,expiry_rate_percent,forecast_error_percent,financial_loss_due_to_expiry_usd,delivery_delay_days,predicted_stockout_probability,expiry_risk_category,data_source
NDA/ARV/HHP/15886,Doxycycline Capsules,India,Acme Pharma Ltd,Eastern,Pharmacy,2258.0,2024-10-22,434,3819,13,15,0.787,0,Rainy,0.232,0.472,0.652,Moderate,25.0,74.6,1,0.393,Fair,1,6.13,18.09,179.25,2,0.391,Medium,Simulated System Logs
NDA/MAL/HHP/15887,Azithromycin Tablets,India,MedPlus Uganda,Northern,Hospital,4772.0,2024-12-27,1132,5853,64,24,0.754,0,Dry,0.491,0.218,0.544,Moderate,19.6,53.1,1,0.591,Excellent,0,6.65,27.6,406.97,3,0.416,Medium,Field Survey
NDA/ARV/HHP/15888,Doxycycline Capsules,Spain,Acme Pharma Ltd,Central,Warehouse,9997.0,2022-07-03,2332,1303,84,20,0.387,0,Dry,0.619,0.706,0.615,Moderate,21.1,63.1,1,0.352,Excellent,0,2.97,9.63,511.41,10,0.501,Low,Scopus Research
NDA/CHR/HHP/15889,Omeprazole Capsules,Uganda,Pharma Mart Ltd,Central,Clinic,478.0,2024-05-19,107,5556,26,8,0.8,0,Rainy,0.825,0.999,0.512,Moderate,24.6,48.6,0,0.618,Excellent,0,8.77,14.56,76.32,0,0.305,Medium,Field Survey
NDA/ANL/HHP/15890,Doxycycline Capsules,Malaysia,Crown Pharmaceuticals,Central,Pharmacy,2956.0,2025-04-19,389,7917,57,11,0.709,0,Rainy,0.728,0.858,0.866,High,23.0,71.8,1,0.74,Fair,0,8.47,11.07,237.76,3,0.281,Medium,Field Survey
NDA/ABX/HHP/15891,Ceftriaxone Injection,Kenya,Pharma Mart Ltd,Central,Warehouse,,2023-02-02,2562,1086,87,20,0.889,0,Dry,0.635,0.757,0.931,High,25.3,60.9,1,0.61,Fair,0,4.53,6.51,896.11,0,0.274,Low,Simulated System Logs
NDA/MAL/HHP/15892,Amoxicillin Capsules,India,Pharma Mart Ltd,Central,Hospital,2591.0,2022-08-06,649,1067,10,15,0.329,0,Dry,0.739,0.816,0.447,Poor,29.7,60.1,1,0.439,Fair,1,5.7,38.78,88.75,6,0.658,Medium,Field Survey
NDA/MAL/HHP/15893,Ceftriaxone Injection,India,Royal Pharma 2011 Ltd,Central,Pharmacy,1557.0,2022-05-16,438,4985,69,18,0.721,0,Rainy,0.792,0.811,0.552,Moderate,25.9,53.8,1,0.454,Fair,1,5.2,21.82,296.05,3,0.39,Medium,Field Survey
NDA/CHR/HHP/15894,Artemether-Lumefantrine,China,Ngoma Distributors,Central,Pharmacy,2722.0,2025-10-24,708,7523,11,18,,0,Rainy,0.95,0.831,0.603,Moderate,21.9,52.1,1,0.687,Excellent,1,2.91,23.86,260.38,1,0.314,Low,Field Survey
NDA/MAL/HHP/15895,Co-trimoxazole Tablets,India,HealthLink Ltd,Northern,Warehouse,8930.0,2025-04-19,2428,169,77,16,0.551,0,Rainy,0.415,0.445,0.839,High,30.0,68.9,1,0.634,Fair,1,10.44,10.34,3567.52,6,0.389,Medium,Field Survey
NDA/MAL/HHP/15896,Ibuprofen Tablets,India,Acme Pharma Ltd,Western,Clinic,381.0,2023-06-11,75,512,22,16,0.727,0,Dry,0.497,0.471,0.863,High,29.7,68.2,1,0.218,Fair,0,5.79,15.72,2.16,2,0.284,Medium,Field Survey
NDA/MAL/HHP/15897,Doxycycline Capsules,China,Ngoma Distributors,Central,Health Centre IV,3211.0,2025-08-03,685,6448,75,17,0.814,0,Dry,0.683,0.733,0.673,Moderate,27.5,58.1,1,0.64,Fair,1,8.78,22.29,513.86,3,0.335,Medium,Field Survey
NDA/MAL/HHP/15898,Doxycycline Capsules,Spain,Royal Pharma 2011 Ltd,Central,Pharmacy,1059.0,2025-03-25,200,6128,37,16,0.799,0,Rainy,0.88,0.907,0.431,Poor,31.1,56.7,0,0.288,Fair,0,9.17,41.33,182.14,0,0.461,Medium,Scopus Research
NDA/ANL/HHP/15899,Ibuprofen Tablets,India,Ngoma Distributors,Northern,Hospital,3101.0,2025-03-28,513,317,90,23,0.751,0,Rainy,0.386,0.547,0.301,Poor,24.8,43.8,0,0.7,Excellent,1,10.0,39.87,15.54,5,0.537,Medium,Scopus Research
NDA/ANL/HHP/15900,Azithromycin Tablets,China,Abacus Pharma (Africa),Central,Clinic,1078.0,2025-09-21,232,455,42,24,0.786,0,Rainy,0.782,0.726,0.759,High,24.6,70.4,1,0.592,Fair,0,2.46,8.76,14.46,3,0.334,Low,Scopus Research
NDA/CHR/HHP/15901,Amoxicillin Capsules,China,HealthLink Ltd,Eastern,Pharmacy,855.0,2022-07-05,220,7281,62,19,0.864,0,Dry,0.434,0.581,0.822,High,18.4,77.1,1,0.086,Fair,1,2.77,12.96,18.31,2,0.287,Low,Simulated System Logs
NDA/CHR/HHP/15902,Ibuprofen Tablets,India,Ngoma Distributors,Central,Clinic,279.0,2022-03-04,55,3311,70,17,0.864,0,Rainy,0.563,0.748,0.929,Moderate,21.5,87.9,1,0.26,Fair,1,5.92,12.42,5.91,3,0.334,Medium,Field Survey
NDA/CHR/HHP/15903,Ceftriaxone Injection,Malaysia,Ngoma Distributors,Central,Clinic,569.0,2025-05-03,106,472,9,20,,0,Rainy,0.715,0.863,0.529,Moderate,31.7,68.6,0,0.788,Fair,1,10.45,23.52,228.4,4,0.443,Medium,Simulated System Logs
NDA/MAL/HHP/15904,Artemether-Lumefantrine,Kenya,Pharma Mart Ltd,Central,Clinic,1332.0,2022-08-11,391,5779,44,19,0.656,0,Dry,0.565,0.835,0.379,Poor,22.6,44.7,0,0.687,Excellent,1,5.88,40.3,464.38,5,0.534,Medium,Simulated System Logs
NDA/ARV/HHP/15905,Artemether-Lumefantrine,India,Pharma Mart Ltd,Central,Clinic,385.0,2022-09-16,80,5791,70,19,0.58,0,Rainy,0.783,0.825,0.67,Moderate,22.5,47.6,1,0.57,Excellent,1,6.49,19.88,339.7,4,0.46,Medium,Field Survey
NDA/CHR/HHP/15906,Co-trimoxazole Tablets,India,Royal Pharma 2011 Ltd,Central,Hospital,6508.0,2024-08-30,1932,8581,9,16,0.613,0,Dry,0.527,0.757,0.607,Moderate,27.2,69.6,1,0.498,Fair,0,4.77,19.06,968.17,2,0.464,Low,Scopus Research
NDA/MAL/HHP/15907,Metformin Tablets,India,Acme Pharma Ltd,Eastern,Hospital,4498.0,2023-08-24,867,3074,48,14,0.743,0,Dry,0.615,0.322,0.737,Moderate,32.1,80.4,1,0.631,Poor,1,13.2,16.85,832.7,4,0.403,Medium,Scopus Research
NDA/ABX/HHP/15908,Paracetamol Tablets,India,Acme Pharma Ltd,Eastern,Health Centre IV,1738.0,2025-01-10,436,6843,58,19,0.491,0,Dry,0.517,0.448,0.701,Moderate,21.5,74.1,1,0.364,Fair,1,7.56,18.52,50.3,2,0.511,Medium,Scopus Research
NDA/ANL/HHP/15909,Metformin Tablets,Malaysia,MedPlus Uganda,Western,Clinic,1164.0,2023-11-29,204,1201,27,19,0.81,0,Rainy,0.647,0.627,0.792,Moderate,31.9,55.5,1,0.15,Fair,0,6.63,19.49,134.85,2,0.3,Medium,Scopus Research
NDA/ABX/HHP/15910,Amlodipine Tablets,China,Pharma Mart Ltd,Western,Hospital,4038.0,2025-04-14,483,2105,24,14,0.748,0,Rainy,0.567,0.533,1.0,High,29.0,64.7,1,0.384,Fair,0,6.22,8.78,616.34,0,0.302,Medium,Field Survey
NDA/ARV/HHP/15911,Ceftriaxone Injection,Kenya,Ngoma Distributors,Central,Health Centre IV,2248.0,2023-10-20,456,8088,13,16,0.854,0,Rainy,0.712,0.917,0.832,High,20.8,49.1,1,0.505,Excellent,0,0.79,11.0,45.02,0,0.267,Low,Scopus Research
NDA/MAL/HHP/15912,Azithromycin Tablets,Malaysia,MedPlus Uganda,Western,Health Centre IV,3316.0,2023-02-16,597,6310,22,16,0.631,0,Dry,0.489,0.632,0.281,Poor,22.8,40.7,0,0.272,Excellent,1,4.73,36.49,118.02,0,0.498,Low,Scopus Research
NDA/CHR/HHP/15913,Paracetamol Tablets,India,Pharma Mart Ltd,Western,Warehouse,9268.0,2024-11-16,1942,1162,21,15,0.784,0,Rainy,0.416,0.895,0.828,High,24.4,63.8,1,0.328,Excellent,0,3.22,6.65,73.2,3,0.236,Low,Scopus Research
NDA/ANL/HHP/15914,Amlodipine Tablets,Kenya,Ngoma Distributors,Central,Pharmacy,,2022-11-20,282,5862,50,13,0.919,0,Rainy,0.957,0.735,0.802,High,24.0,55.5,1,0.458,Excellent,0,2.89,6.99,134.15,0,0.186,Low,Simulated System Logs
NDA/CHR/HHP/15915,Amlodipine Tablets,India,HealthLink Ltd,Western,Pharmacy,1425.0,2024-12-21,217,1345,16,24,0.697,0,Dry,0.445,0.869,0.756,High,29.7,39.4,1,0.541,Fair,0,4.5,9.71,278.62,2,0.397,Low,Field Survey
NDA/ARV/HHP/15916,Artemether-Lumefantrine,Spain,Crown Pharmaceuticals,Central,Clinic,1367.0,2024-02-23,243,1403,70,13,0.567,0,Dry,0.797,0.923,1.0,High,20.0,59.7,1,0.347,Excellent,0,3.08,1.24,300.94,1,0.27,Low,Simulated System Logs
NDA/ARV/HHP/15917,Amlodipine Tablets,Malaysia,Royal Pharma 2011 Ltd,Northern,Hospital,3221.0,2024-07-26,612,7907,22,20,0.922,0,Dry,0.221,0.339,0.512,Moderate,31.9,61.7,1,0.541,Fair,0,8.54,29.64,714.55,0,0.413,Medium,Simulated System Logs
NDA/ABX/HHP/15918,Paracetamol Tablets,India,Crown Pharmaceuticals,Eastern,Pharmacy,2408.0,2022-11-21,286,2277,83,17,0.701,0,Rainy,0.344,0.383,0.495,Poor,30.2,43.4,1,0.297,Fair,0,7.75,39.36,79.15,1,0.574,Medium,Simulated System Logs
NDA/ANL/HHP/15919,Ibuprofen Tablets,Uganda,Acme Pharma Ltd,Central,Hospital,5988.0,2024-08-22,835,1447,60,11,0.892,0,Dry,1.0,0.836,0.996,Moderate,28.5,64.6,1,0.244,Fair,0,8.56,17.17,166.83,1,0.196,Medium,Simulated System Logs
NDA/ABX/HHP/15920,Omeprazole Capsules,India,Pharma Mart Ltd,Northern,Pharmacy,1974.0,2024-01-28,209,7666,12,15,0.762,1,Dry,0.479,0.356,0.948,High,33.7,62.8,1,0.49,Fair,1,9.54,6.58,749.71,0,0.399,Medium,Simulated System Logs
NDA/ANL/HHP/15921,Paracetamol Tablets,Malaysia,MedPlus Uganda,Central,Pharmacy,423.0,2022-07-05,91,3084,9,18,0.923,0,Dry,0.78,0.91,0.847,High,24.7,55.6,1,0.542,Excellent,0,4.71,5.27,3.41,1,0.234,Low,Field Survey
NDA/ABX/HHP/15922,Metformin Tablets,Kenya,Royal Pharma 2011 Ltd,Central,Clinic,827.0,2025-12-13,96,5220,75,14,0.852,0,Dry,0.724,0.795,0.794,High,,61.8,1,0.662,Excellent,1,9.36,7.53,209.98,2,0.303,Medium,Simulated System Logs
NDA/MAL/HHP/15923,Co-trimoxazole Tablets,India,Crown Pharmaceuticals,Eastern,Health Centre IV,,2023-01-09,1117,1816,43,22,0.882,0,Dry,0.322,0.293,0.421,Poor,21.1,61.9,0,0.504,Excellent,0,9.4,47.51,437.29,1,0.472,Medium,Scopus Research
NDA/CHR/HHP/15924,Artemether-Lumefantrine,India,Crown Pharmaceuticals,Central,Clinic,484.0,2024-03-04,76,5907,78,11,0.773,1,Rainy,0.589,0.652,0.935,High,18.1,71.1,0,0.102,Fair,1,4.54,2.22,221.57,0,0.334,Low,Simulated System Logs
NDA/CHR/HHP/15925,Azithromycin Tablets,Malaysia,HealthLink Ltd,Western,Health Centre IV,1660.0,2024-08-04,422,118,10,15,0.454,0,Dry,0.377,0.943,0.455,Poor,26.6,86.0,1,0.378,Poor,1,4.61,39.92,74.38,8,0.611,Low,Simulated System Logs
NDA/MAL/HHP/15926,Doxycycline Capsules,Netherlands,Crown Pharmaceuticals,Eastern,Hospital,3725.0,2022-03-04,1027,4124,55,20,0.696,1,Rainy,0.264,0.539,0.395,Poor,23.3,56.1,1,0.301,Excellent,1,4.76,47.28,265.82,4,0.702,Low,Simulated System Logs
NDA/ARV/HHP/15927,Paracetamol Tablets,India,MedPlus Uganda,Central,Hospital,3942.0,2024-11-05,469,7790,83,23,0.652,0,Rainy,0.612,0.967,0.93,High,33.0,63.9,1,0.382,Fair,0,8.76,2.53,20.03,7,0.348,Medium,Simulated System Logs
NDA/ABX/HHP/15928,Azithromycin Tablets,Uganda,Royal Pharma 2011 Ltd,Central,Clinic,1324.0,2022-08-09,366,3689,24,14,0.922,0,Dry,0.68,1.0,0.752,High,20.9,,1,0.162,Excellent,0,0.0,6.11,0.0,0,0.176,Low,Simulated System Logs
NDA/CHR/HHP/15929,Ceftriaxone Injection,China,Pharma Mart Ltd,Central,Pharmacy,2527.0,2022-07-21,651,5049,41,20,0.765,0,Dry,0.704,0.923,0.785,High,24.5,61.1,1,0.758,Excellent,0,1.12,9.08,106.3,4,0.266,Low,Simulated System Logs
NDA/ARV/HHP/15930,Paracetamol Tablets,China,Royal Pharma 2011 Ltd,Western,Hospital,2467.0,2025-11-15,635,5566,77,12,0.627,0,Rainy,0.801,0.629,0.581,Moderate,26.9,52.4,1,0.26,Fair,0,7.13,20.03,69.91,1,0.389,Medium,Scopus Research
NDA/ABX/HHP/15931,Metformin Tablets,India,Abacus Pharma (Africa),Northern,Clinic,301.0,2023-09-11,32,764,32,19,0.774,0,Rainy,0.561,0.585,0.516,Moderate,24.2,,0,0.569,Excellent,0,10.71,21.35,10.48,0,0.372,Medium,Simulated System Logs
NDA/ABX/HHP/15932,Omeprazole Capsules,India,HealthLink Ltd,Western,Hospital,3772.0,2025-11-12,1036,6705,79,29,0.549,0,Rainy,0.518,0.54,0.858,High,25.2,82.0,1,0.351,Poor,1,6.06,8.86,108.06,5,0.451,Medium,Scopus Research
NDA/ANL/HHP/15933,Ibuprofen Tablets,China,Acme Pharma Ltd,Northern,Health Centre IV,1856.0,2022-12-12,213,8358,26,15,0.536,0,Dry,0.509,0.408,0.514,Moderate,24.7,73.4,1,0.307,Fair,0,3.95,20.92,7.12,3,0.408,Low,Scopus Research
NDA/ARV/HHP/15934,Co-trimoxazole Tablets,Netherlands,Abacus Pharma (Africa),Central,Hospital,4032.0,2022-02-14,793,2339,32,11,0.657,0,Dry,0.749,0.796,0.789,High,27.1,92.1,1,0.237,Poor,0,3.75,11.94,366.66,3,0.293,Low,Simulated System Logs
NDA/ARV/HHP/15935,Artemether-Lumefantrine,Netherlands,Ngoma Distributors,Northern,Health Centre IV,2419.0,2023-06-22,707,8310,42,18,0.893,0,Dry,0.366,0.432,0.57,Moderate,25.6,64.8,0,0.185,Fair,0,6.23,13.95,2910.63,2,0.318,Medium,Simulated System Logs
NDA/ANL/HHP/15936,Omeprazole Capsules,India,HealthLink Ltd,Western,Hospital,5666.0,2023-12-03,1170,1090,20,21,0.684,0,Dry,0.861,0.534,0.717,Moderate,21.9,34.1,1,0.396,Excellent,0,1.44,22.13,362.62,1,0.356,Low,Simulated System Logs
NDA/ANL/HHP/15937,Paracetamol Tablets,India,Acme Pharma Ltd,Northern,Pharmacy,849.0,2023-01-31,164,6218,27,28,0.86,0,Dry,0.237,0.43,0.751,High,27.7,72.2,1,0.408,Poor,1,6.29,4.77,22.42,3,0.335,Medium,Simulated System Logs
NDA/ABX/HHP/15938,Omeprazole Capsules,Netherlands,Pharma Mart Ltd,Central,Pharmacy,2178.0,2025-09-03,332,2692,8,20,0.39,0,Rainy,0.716,0.803,0.85,High,23.9,53.0,0,0.506,Excellent,0,1.92,5.45,110.82,9,0.445,Low,Simulated System Logs
NDA/ANL/HHP/15939,Paracetamol Tablets,China,HealthLink Ltd,Central,Pharmacy,2459.0,2023-03-09,712,7278,26,14,0.924,0,Rainy,0.61,0.718,0.619,Moderate,16.7,46.0,1,0.381,Excellent,0,2.19,24.49,26.46,1,0.274,Low,Field Survey
NDA/ABX/HHP/15940,Artemether-Lumefantrine,India,Royal Pharma 2011 Ltd,Western,Health Centre IV,2402.0,2022-03-08,620,4660,10,15,0.743,0,Rainy,0.547,0.468,0.88,High,19.0,62.5,1,0.54,Excellent,1,6.54,6.7,2903.54,1,0.323,Medium,Simulated System Logs
NDA/MAL/HHP/15941,Artemether-Lumefantrine,India,Ngoma Distributors,Eastern,Warehouse,7816.0,2024-07-11,2221,652,25,23,0.778,0,Dry,0.269,0.5,0.78,High,28.6,71.4,1,0.91,Poor,0,10.53,2.46,5000.0,2,0.379,Medium,Simulated System Logs
NDA/ANL/HHP/15942,Tenofovir-Lamivudine-Dolutegravir,China,MedPlus Uganda,Eastern,Health Centre IV,3451.0,2025-04-27,642,2423,60,22,0.702,0,Rainy,0.359,0.518,0.694,,21.8,68.4,0,0.33,Excellent,0,2.74,23.95,429.58,0,0.39,Low,Simulated System Logs
NDA/ABX/HHP/15943,Ibuprofen Tablets,China,Royal Pharma 2011 Ltd,Northern,Hospital,3817.0,2023-04-29,889,5206,10,16,0.798,0,Rainy,0.386,0.532,0.719,Moderate,26.9,54.7,1,0.12,Fair,0,0.0,24.89,0.0,1,0.311,Low,Simulated System Logs
NDA/ANL/HHP/15944,Amoxicillin Capsules,India,MedPlus Uganda,Central,Clinic,199.0,2023-01-23,47,5393,22,12,0.637,0,Dry,0.729,0.686,0.647,Moderate,26.4,82.3,1,0.673,Poor,0,6.2,18.77,8.5,0,0.328,Medium,Simulated System Logs
NDA/MAL/HHP/15945,Amlodipine Tablets,Uganda,Ngoma Distributors,Western,Clinic,204.0,2022-07-13,40,6050,10,11,0.885,0,Dry,0.698,0.523,0.638,Moderate,14.7,50.8,0,0.683,Excellent,0,8.71,15.39,88.6,3,0.305,Medium,Simulated System Logs
NDA/ANL/HHP/15946,Ceftriaxone Injection,India,Royal Pharma 2011 Ltd,Northern,Hospital,5292.0,2025-12-26,1275,5664,35,14,0.886,0,Dry,0.547,0.44,0.609,Moderate,19.0,54.8,0,0.687,Excellent,0,9.61,19.66,2177.66,2,0.374,Medium,Simulated System Logs
NDA/ANL/HHP/15947,Paracetamol Tablets,India,Crown Pharmaceuticals,Central,Hospital,2349.0,2024-07-19,321,1714,84,16,0.831,0,Dry,0.787,0.768,1.0,High,25.3,75.0,1,0.47,Poor,0,7.53,1.49,59.21,1,0.186,Medium,Field Survey
NDA/ARV/HHP/15948,Doxycycline Capsules,China,MedPlus Uganda,Western,Health Centre IV,1174.0,2023-09-17,224,4790,13,16,0.849,0,Rainy,0.573,0.712,0.616,Moderate,29.8,63.1,1,0.569,Fair,1,8.07,15.34,53.6,0,0.29,Medium,Simulated System Logs
NDA/ANL/HHP/15949,Azithromycin Tablets,India,MedPlus Uganda,Northern,Warehouse,7363.0,2025-12-01,1357,372,73,21,0.911,0,Dry,0.185,0.415,0.668,Moderate,24.5,36.9,1,0.457,Excellent,0,5.22,11.61,716.2,1,0.355,Medium,Field Survey
NDA/ARV/HHP/15950,Omeprazole Capsules,Malaysia,Crown Pharmaceuticals,Western,Hospital,2273.0,2025-10-22,510,629,18,10,0.725,0,Rainy,0.399,0.638,0.458,Poor,25.3,69.0,0,0.42,Fair,0,8.34,44.01,582.02,2,0.494,Medium,Simulated System Logs
NDA/ARV/HHP/15951,Doxycycline Capsules,Spain,Crown Pharmaceuticals,Eastern,Hospital,3856.0,2024-04-25,395,6033,86,16,0.86,0,Rainy,0.415,0.585,0.455,Poor,20.5,69.9,0,0.455,Excellent,1,6.45,43.29,380.88,1,0.465,Medium,Field Survey
NDA/ARV/HHP/15952,Paracetamol Tablets,Netherlands,HealthLink Ltd,Northern,Pharmacy,311.0,2025-11-12,52,3233,50,19,0.626,0,Rainy,0.408,0.209,0.584,Moderate,20.3,60.6,1,0.46,Excellent,0,2.68,21.79,3.82,5,0.441,Low,Scopus Research
NDA/ABX/HHP/15953,Ibuprofen Tablets,Uganda,HealthLink Ltd,Central,Health Centre IV,3728.0,2022-02-17,596,2336,88,19,0.349,1,Dry,0.79,0.859,0.468,Poor,25.0,71.8,1,0.214,Fair,1,5.85,32.86,73.66,7,0.715,Medium,Field Survey
NDA/ARV/HHP/15954,Tenofovir-Lamivudine-Dolutegravir,Kenya,Pharma Mart Ltd,Central,Pharmacy,1328.0,2022-01-19,271,2657,25,8,0.887,0,Dry,0.748,0.883,0.7,Moderate,25.3,63.4,0,0.431,Fair,0,8.2,12.77,710.6,0,0.187,Medium,Scopus Research
NDA/ANL/HHP/15955,Omeprazole Capsules,China,Acme Pharma Ltd,Central,Hospital,6814.0,2022-10-14,1917,5124,44,16,0.698,0,Rainy,0.873,0.901,0.497,Poor,29.7,48.4,1,0.359,Fair,0,5.68,40.23,1360.57,1,0.471,Medium,Simulated System Logs
NDA/CHR/HHP/15956,Ibuprofen Tablets,India,Pharma Mart Ltd,Central,Hospital,5900.0,2022-07-29,1678,1932,20,21,0.703,0,Dry,0.611,0.71,0.783,High,27.8,57.2,1,0.763,Fair,0,5.35,15.82,63.74,1,0.311,Medium,Simulated System Logs
NDA/ANL/HHP/15957,Artemether-Lumefantrine,China,HealthLink Ltd,Western,Hospital,4727.0,2022-11-01,493,867,67,21,0.835,0,Rainy,0.48,0.377,0.699,Moderate,19.1,78.5,1,0.338,Fair,1,4.81,19.21,3415.11,1,0.367,Low,Simulated System Logs
NDA/CHR/HHP/15958,Amoxicillin Capsules,Kenya,Pharma Mart Ltd,Western,Hospital,6296.0,2024-08-01,1240,7559,60,18,0.564,0,Dry,0.487,0.717,0.141,Poor,21.3,58.4,0,0.734,Excellent,1,8.81,41.98,914.12,9,0.625,Medium,Field Survey
NDA/MAL/HHP/15959,Paracetamol Tablets,China,Royal Pharma 2011 Ltd,Central,Pharmacy,1034.0,2025-08-24,239,3771,22,15,0.555,0,Dry,0.59,0.866,0.706,Moderate,25.8,44.5,1,0.128,Fair,1,4.57,23.12,22.23,3,0.423,Low,Simulated System Logs
NDA/CHR/HHP/15960,Amlodipine Tablets,Uganda,HealthLink Ltd,Eastern,Warehouse,9845.0,2025-02-20,2037,260,66,14,0.797,0,Dry,0.46,0.443,0.901,Moderate,21.3,57.2,0,0.245,Excellent,0,7.0,25.65,3094.52,1,0.349,Medium,Field Survey
NDA/ARV/HHP/15961,Doxycycline Capsules,Uganda,Acme Pharma Ltd,Central,Clinic,112.0,2023-10-21,25,4636,54,21,0.625,0,Rainy,0.582,1.0,0.743,Moderate,22.1,69.2,1,0.124,Excellent,1,2.42,14.5,4.09,3,0.421,Low,Field Survey
NDA/ABX/HHP/15962,Azithromycin Tablets,India,MedPlus Uganda,Western,Hospital,4331.0,2023-11-22,1183,557,10,16,0.627,0,Rainy,0.774,0.667,0.502,Moderate,28.7,57.1,1,0.115,Fair,0,0.0,18.06,0.0,3,0.345,Low,Simulated System Logs
NDA/ANL/HHP/15963,Amoxicillin Capsules,Kenya,Pharma Mart Ltd,Central,Pharmacy,833.0,2022-05-21,135,7816,44,8,0.757,0,Rainy,0.706,0.749,0.979,Moderate,25.8,89.9,1,0.256,Poor,1,6.15,5.06,97.82,1,0.244,Medium,Simulated System Logs
NDA/ANL/HHP/15964,Artemether-Lumefantrine,Kenya,Abacus Pharma (Africa),Central,Health Centre IV,4882.0,2023-09-16,1081,8795,13,13,0.691,0,Rainy,0.883,0.86,0.637,Moderate,27.2,56.6,1,0.234,Fair,1,1.8,18.43,319.1,5,0.313,Low,Simulated System Logs
NDA/ARV/HHP/15965,Artemether-Lumefantrine,Malaysia,HealthLink Ltd,Northern,Hospital,2975.0,2025-10-24,550,1883,66,13,0.921,0,Rainy,0.539,0.598,0.889,High,27.7,62.0,0,0.42,Fair,0,8.5,3.34,1473.15,0,0.179,Medium,Simulated System Logs
NDA/ARV/HHP/15966,Tenofovir-Lamivudine-Dolutegravir,China,Royal Pharma 2011 Ltd,Northern,Pharmacy,883.0,2024-06-21,176,3932,23,28,0.705,1,Dry,0.207,0.278,0.664,Moderate,26.4,87.3,1,0.27,Poor,1,7.86,14.54,855.88,4,0.72,Medium,Simulated System Logs
NDA/CHR/HHP/15967,Ceftriaxone Injection,Kenya,Pharma Mart Ltd,Eastern,Clinic,546.0,2023-01-21,143,6069,71,17,0.821,0,Dry,0.331,0.565,0.994,High,24.3,75.4,1,0.371,Fair,1,6.1,8.39,57.59,2,0.288,Medium,Simulated System Logs
NDA/ARV/HHP/15968,Metformin Tablets,Kenya,Crown Pharmaceuticals,Central,Pharmacy,301.0,2022-02-08,71,7173,57,14,0.653,0,Dry,0.776,0.707,0.957,High,30.2,,0,0.387,Fair,0,9.99,4.92,90.03,1,0.276,Medium,Simulated System Logs
NDA/CHR/HHP/15969,Ceftriaxone Injection,China,MedPlus Uganda,Central,Pharmacy,2802.0,2025-04-28,288,688,26,8,0.719,0,Rainy,0.937,0.782,0.852,High,33.2,55.6,1,0.296,Fair,0,15.6,4.17,1296.86,4,0.17,High,Scopus Research
NDA/CHR/HHP/15970,Amoxicillin Capsules,Netherlands,Pharma Mart Ltd,Eastern,Hospital,6405.0,2023-04-17,644,5082,36,18,0.838,0,Rainy,0.399,0.497,0.761,High,17.0,68.4,0,0.62,Excellent,1,7.17,11.1,746.35,1,0.344,Medium,Simulated System Logs
NDA/MAL/HHP/15971,Doxycycline Capsules,China,HealthLink Ltd,Eastern,Pharmacy,650.0,2023-05-15,165,3640,66,12,0.936,0,Rainy,0.46,0.341,0.761,High,30.2,54.8,1,0.402,Fair,0,8.5,1.02,99.06,1,0.154,Medium,Simulated System Logs
NDA/MAL/HHP/15972,Azithromycin Tablets,China,Royal Pharma 2011 Ltd,Eastern,Health Centre IV,2330.0,2024-04-11,330,1679,59,20,0.879,0,Rainy,0.488,0.484,0.667,Moderate,25.3,73.9,1,0.195,Poor,0,9.68,9.49,212.54,3,0.333,Medium,Simulated System Logs
NDA/MAL/HHP/15973,Amlodipine Tablets,Spain,Abacus Pharma (Africa),Eastern,Hospital,3517.0,2023-06-19,866,1121,25,19,0.755,0,Dry,0.555,0.543,0.724,Moderate,21.9,38.2,0,0.527,Excellent,0,9.1,14.56,404.87,2,0.366,Medium,Field Survey
NDA/ARV/HHP/15974,Amoxicillin Capsules,Kenya,Abacus Pharma (Africa),Western,Hospital,3532.0,2022-02-10,564,843,53,18,0.704,0,Dry,0.719,0.568,0.977,High,25.3,51.5,1,0.318,Fair,1,6.72,0.63,455.58,1,0.278,Medium,Simulated System Logs
NDA/ANL/HHP/15975,Ceftriaxone Injection,Spain,HealthLink Ltd,Northern,Health Centre IV,4819.0,2025-04-26,828,6578,33,22,0.677,0,Rainy,0.372,0.5,0.783,High,25.1,40.7,1,0.633,Fair,0,7.97,14.76,1574.53,3,0.407,Medium,Field Survey
NDA/ARV/HHP/15976,Amlodipine Tablets,India,Royal Pharma 2011 Ltd,Central,Pharmacy,421.0,2023-04-09,96,6662,26,7,0.745,0,Rainy,0.96,0.922,0.635,Moderate,22.6,66.0,1,0.437,Excellent,1,2.67,14.69,13.66,0,0.263,Low,Field Survey
NDA/ARV/HHP/15977,Amoxicillin Capsules,Kenya,Crown Pharmaceuticals,Northern,Clinic,662.0,2024-10-02,105,2360,9,16,0.701,0,Rainy,0.759,0.539,0.608,Moderate,23.3,54.5,1,0.641,Excellent,0,1.6,19.88,6.54,2,0.371,Low,Simulated System Logs
